uniprot_id,features
P04278,0.037154 0.616379 0.053386 0.086712 0.084860 -0.322355 0.537380 0.028843 0.041965 0.264114 0.032552 0.591384 -0.443058 0.073021 0.099808 0.135419 0.412854 0.083011 0.495808 -0.107789 0.119951 0.246133 0.526064 0.070570 0.159479 0.140121 1.059238 0.267838 0.085898 0.249969 0.125931 -0.155290 0.057408 0.111908 0.527983 -0.049191 -0.023392 -0.073858 -0.155506 0.113455 0.014442 0.008452 0.160605 0.564315 0.654063 0.040868 -0.020657 0.069873 0.209032 0.065332 0.713601 0.155373 0.438166 -0.106616 0.146568 -0.039229 0.151141 0.041217 0.346508 0.113908 0.636429 -0.105266 0.846580 0.255760
P04279,-0.429129 -0.180500 0.218156 -0.223255 -0.361125 0.331783 -0.311565 0.213552 0.435890 -0.180749 0.211747 -0.274473 0.334523 0.232089 0.225284 0.235617 -0.342517 0.224207 0.048527 -0.230171 0.218576 -0.135153 -0.208980 -0.236298 -0.323276 0.233920 -0.155003 0.053689 0.327667 -0.351363 0.237327 0.330201 0.203755 0.258304 0.055533 0.270268 -0.207807 -0.245403 0.189360 -0.246882 -0.230765 0.225612 0.403259 -0.303240 -0.256626 0.247063 0.201372 -0.235830 -0.259532 0.225937 -0.134328 -0.211753 -0.239837 0.394857 0.429317 0.463680 0.241477 0.224531 -0.423039 -0.188648 -0.154827 0.189935 -0.256991 -0.382784
P04350,0.527550 0.628464 0.239964 -0.396670 0.394767 -0.968772 0.387992 0.238720 -0.506939 0.526000 0.261858 0.520723 -0.805198 0.207537 0.253416 0.271943 0.843992 0.268426 0.635384 -0.306865 0.280360 -0.390632 0.276275 -0.319109 0.387787 0.250657 0.601515 0.593414 -0.684664 0.493030 0.241645 -0.743926 0.253330 0.231397 0.472299 -0.926622 -0.319371 -0.256617 0.253874 -0.269452 -0.301264 0.246019 -0.310361 0.694866 1.027365 0.255623 0.249835 -0.310347 0.632361 0.171417 0.637503 -0.356896 0.693422 -0.555112 -0.654758 -0.637725 0.301462 0.280839 0.311062 -0.355948 0.414963 0.325941 0.504889 0.727809
P04406,2.821246 0.319150 -1.745675 1.907334 2.827618 -0.032369 2.493472 -1.881279 -2.425052 2.350182 -1.932054 1.371943 -2.252075 -1.853762 -2.119065 -1.783822 1.570869 -2.257689 -0.287341 1.939279 -2.142885 2.303674 1.473871 1.882634 2.576911 -1.864723 0.645950 -0.939672 -2.905944 3.144626 -2.221443 -2.977417 -1.718366 -2.186454 -1.183269 -1.596272 1.858974 2.209880 -2.073381 2.038997 1.994580 -2.018711 -2.724784 2.497379 0.524360 -1.965318 -1.582949 1.876623 2.554205 -1.575384 0.423171 2.070323 1.661407 -2.790825 -2.486674 -3.424614 -1.758147 -2.007824 2.944927 1.926184 1.048418 -1.592566 1.719235 2.962817
P04626,2.266599 1.784022 -2.643586 2.408099 3.261629 -2.034576 3.466198 -2.525927 -3.329012 3.004001 -2.423547 2.386418 -3.904294 -2.356080 -2.160621 -2.664595 3.127129 -1.754208 -0.392606 2.226128 -2.115706 1.878829 2.620425 2.311603 2.572623 -2.299646 1.222103 -0.327785 -3.011930 3.145187 -2.245078 -2.944537 -2.712474 -2.372854 0.057903 -4.700310 2.517449 2.323083 -2.288629 2.369557 2.114595 -2.527855 -3.105916 1.252894 4.183234 -2.389750 -2.690395 2.320153 2.116899 -2.656697 1.245737 2.331415 0.324835 -3.852643 -4.643890 -3.364675 -2.363394 -2.560341 3.086691 2.445298 1.663771 -2.484932 0.480222 3.723962
P04629,3.208668 -12.757852 -18.502018 16.502805 9.550980 -2.075246 10.249568 -17.474872 -8.067294 6.692090 -18.680505 0.431141 -5.318621 -18.209230 -17.414278 -17.055613 -3.898141 -17.011680 -14.732805 17.925585 -17.492163 18.851581 -0.982526 16.417585 7.439045 -17.336140 -7.767757 -15.252299 -8.985553 8.178723 -17.459611 -4.208613 -18.065757 -16.597324 -13.063035 -4.784521 17.332916 17.651257 -17.055842 17.162297 17.478693 -17.416405 -11.155606 -3.440782 2.477936 -16.741673 -16.913333 17.659582 0.261525 -17.244229 -8.485280 16.975043 -7.111548 -10.585897 -10.240720 -9.386195 -17.320198 -17.304610 8.164149 16.841364 -8.135671 -17.808270 -7.764293 6.078522
P04637,6.342386 -4.602952 -8.635097 8.158635 5.434991 -7.213600 6.746564 -7.723578 -7.339387 3.520241 -8.084887 -2.876115 -1.058974 -9.420115 -8.997924 -8.004220 -0.422585 -8.034351 -8.655590 8.176604 -8.589851 8.187029 0.074825 8.162541 6.828141 -8.676654 -3.595288 -6.482924 -5.901161 6.645686 -8.681708 -2.666257 -7.934623 -9.007430 -6.021415 0.203588 8.060980 8.104022 -6.976313 8.514441 8.213468 -8.130951 -9.416979 0.378066 3.164581 -8.662384 -7.500936 8.835483 1.954296 -8.457677 -0.589778 7.382483 -3.007778 -6.695787 -7.180074 -5.708279 -8.532862 -7.678254 6.581389 7.844700 -1.599938 -7.442478 -1.880516 4.571622
P04731,-0.494576 -0.272764 0.255556 -0.268574 -0.474499 0.351523 -0.479848 0.258615 0.505138 -0.445383 0.252353 -0.368953 0.454008 0.280002 0.272850 0.262937 -0.447035 0.282107 -0.003531 -0.235279 0.265525 -0.233920 -0.434715 -0.295041 -0.537574 0.275068 -0.218531 0.018588 0.520501 -0.493074 0.276394 0.407230 0.267647 0.310204 0.018924 0.490053 -0.266134 -0.293943 0.300620 -0.288247 -0.269356 0.287667 0.496013 -0.431783 -0.529118 0.294901 0.263590 -0.281200 -0.403537 0.269851 -0.221288 -0.246548 -0.269993 0.517686 0.481721 0.533951 0.231086 0.290737 -0.493495 -0.262639 -0.312886 0.251837 -0.312901 -0.449927
P04732,-0.550993 -0.319386 0.261789 -0.272740 -0.500599 0.445692 -0.535096 0.263049 0.568999 -0.494027 0.254511 -0.396971 0.487776 0.291191 0.277493 0.264961 -0.505444 0.277895 -0.026085 -0.237191 0.273650 -0.235509 -0.475362 -0.301456 -0.577123 0.280231 -0.279599 -0.009133 0.566946 -0.574422 0.282354 0.466893 0.269961 0.313728 -0.026148 0.532070 -0.264072 -0.295557 0.289392 -0.296847 -0.280967 0.292674 0.523917 -0.503257 -0.551191 0.298687 0.265911 -0.289002 -0.467418 0.275464 -0.297375 -0.244127 -0.343328 0.567938 0.543763 0.568601 0.237075 0.290684 -0.550790 -0.274012 -0.394862 0.248291 -0.379699 -0.484771
P04733,-0.456230 -0.175289 0.275969 -0.293122 -0.444131 0.228406 -0.434113 0.276582 0.434518 -0.413180 0.264914 -0.309314 0.321992 0.299067 0.296833 0.283585 -0.355055 0.295278 0.074784 -0.277379 0.283719 -0.260227 -0.396803 -0.308549 -0.498859 0.296237 -0.105203 0.072086 0.452163 -0.449098 0.297951 0.308252 0.281141 0.329938 0.078885 0.391391 -0.295270 -0.312182 0.295495 -0.299529 -0.299717 0.292916 0.471724 -0.341054 -0.403388 0.307015 0.265948 -0.296819 -0.364186 0.283743 -0.127352 -0.270767 -0.203407 0.451860 0.424835 0.459649 0.262080 0.298041 -0.446720 -0.293691 -0.267317 0.267344 -0.226739 -0.393234
P04792,4.649298 1.102930 -2.151677 2.020669 4.638830 -2.576647 4.495843 -2.048262 -5.243440 4.606917 -2.250038 3.055179 -4.834152 -2.235206 -2.614118 -2.252309 3.861277 -2.590286 0.315448 1.796975 -2.182119 2.262979 4.408658 2.020455 4.263790 -2.213214 1.490039 -0.137120 -5.537962 4.440755 -2.427367 -4.485640 -1.966244 -2.641638 -0.723427 -3.112897 2.158725 2.291043 -2.677615 2.031368 1.866665 -2.409249 -4.982275 4.192932 3.562814 -2.207038 -1.545989 2.114889 4.001100 -1.758336 2.570331 1.724288 3.038889 -4.913627 -4.096684 -4.562027 -2.016062 -2.213624 3.732010 2.149469 3.058783 -2.315105 2.578871 4.379236
P04798,-0.345238 -0.369112 0.159318 -0.158806 -0.321834 0.420604 -0.326905 0.124574 0.334540 -0.442244 0.131856 -0.340966 0.427693 0.162663 0.146988 0.124444 -0.431580 0.136211 -0.165967 -0.141538 0.150036 -0.162111 -0.351235 -0.176494 -0.319744 0.163724 -0.423936 -0.085932 0.344935 -0.468032 0.142153 0.315902 0.127348 0.165570 -0.243763 0.286716 -0.130149 -0.142975 0.164963 -0.171134 -0.194954 0.161723 0.302485 -0.396149 -0.509082 0.161050 0.125439 -0.160690 -0.329390 0.142944 -0.302516 -0.172140 -0.395851 0.426383 0.389384 0.259423 0.134351 0.170955 -0.394454 -0.184926 -0.363010 0.127295 -0.321354 -0.433518
P04818,-0.060082 0.184602 0.132791 -0.020832 -0.202805 0.372498 -0.162045 0.132847 0.218734 -0.164042 0.077916 -0.141054 -0.101595 0.096038 0.065367 0.193904 -0.208517 0.041555 0.182937 -0.089044 0.092719 0.055496 -0.081698 -0.099011 -0.190003 0.174292 0.335326 0.039047 0.280657 -0.104647 0.073622 0.087150 0.120272 0.075465 0.362699 0.522896 -0.099586 -0.129623 0.017330 -0.069806 -0.076881 0.103653 0.196674 -0.060892 -0.308115 0.080906 0.164086 -0.108224 -0.138206 0.197422 0.039810 -0.013887 0.167987 0.096374 0.193834 0.077355 0.103850 0.088672 -0.044570 -0.033294 0.201150 0.090584 0.181320 -0.073292
P04839,-0.005062 0.190240 0.274540 -0.262398 -0.210301 -0.021634 -0.127626 0.286927 0.290507 -0.049815 0.290114 0.115520 0.230033 0.283410 0.283377 0.258280 -0.007690 0.316501 0.183412 -0.280422 0.269576 -0.287705 0.056486 -0.266017 -0.187581 0.241534 0.040676 0.215840 0.220179 -0.139787 0.282036 0.068865 0.286451 0.287088 0.191711 -0.040218 -0.266475 -0.257447 0.289318 -0.278172 -0.282472 0.267433 0.268318 -0.031021 -0.005052 0.286986 0.256566 -0.278547 -0.009277 0.275984 0.150505 -0.308037 0.088049 0.323602 0.268586 0.179946 0.292288 0.305433 -0.155042 -0.277056 0.087313 0.299566 0.071127 -0.140892
P05023,0.873955 0.679672 -0.064660 0.391893 0.620771 0.194685 0.697119 -0.097304 -0.218709 0.417654 -0.087610 1.029547 0.312441 -0.151965 -0.153763 -0.175737 0.460192 -0.215984 -0.145132 0.064386 -0.213262 0.313714 1.448624 0.301265 0.731821 -0.266953 0.283215 -0.110461 -0.443528 0.989432 -0.187769 -0.201337 -0.044106 -0.192139 -0.123079 -0.284974 0.205695 0.333053 -0.240406 0.179528 0.240400 -0.173600 -0.593382 1.260110 0.403764 -0.241177 -0.100046 0.193964 0.705197 -0.101034 0.636375 0.176455 0.946455 0.046688 0.029979 -0.202851 -0.033231 -0.196358 0.888999 0.285800 1.136487 -0.111710 1.160700 0.086237
P05067,7.013502 -1.577780 -8.585589 10.238950 7.018853 5.786725 6.031534 -9.202105 -9.783300 3.178628 -8.924405 -1.106722 -5.190607 -8.765599 -9.337429 -9.757198 -0.725416 -10.114795 -7.973789 9.193567 -10.016828 9.104192 6.421000 10.327816 11.650390 -9.502211 -4.082650 -8.689724 -7.027507 2.652210 -9.651921 -4.953783 -8.957792 -9.720930 -6.850281 -2.101421 9.662481 9.719645 -9.886002 9.596650 9.363500 -9.764393 -8.485138 1.188287 -3.012813 -9.978470 -9.746698 9.082653 2.575442 -8.705562 -6.999248 8.414039 -2.133778 -8.577252 -7.526100 -7.484093 -10.304328 -10.546687 7.197760 9.755892 -1.462168 -10.263710 2.678369 -0.053774
P05090,-0.318023 -0.059132 0.263020 -0.241491 -0.308525 0.409871 -0.194146 0.248546 0.401250 -0.158295 0.257864 -0.040318 0.321919 0.280828 0.276621 0.274735 -0.225220 0.278773 0.146799 -0.253721 0.290745 -0.197678 -0.056698 -0.264130 -0.314055 0.286857 -0.015792 0.119863 0.279031 -0.276426 0.300385 0.271666 0.271056 0.303678 0.151232 0.270089 -0.253675 -0.257401 0.260822 -0.273024 -0.245852 0.287961 0.393026 -0.120600 -0.192895 0.303407 0.251185 -0.244642 -0.149851 0.278983 0.079823 -0.227639 -0.132578 0.413206 0.501167 0.427661 0.292440 0.269172 -0.313944 -0.207122 0.050834 0.221506 -0.025452 -0.331363
P05091,-0.312259 -0.153230 0.093857 0.088055 -0.151263 0.915876 -0.062819 0.020658 0.606763 0.237394 0.016285 0.108355 0.506195 0.091270 0.034970 0.077748 -0.334753 -0.060383 0.050638 0.000404 0.017154 0.218055 0.243970 0.024752 -0.218628 0.090955 -0.185738 -0.133513 0.119395 -0.021234 0.021508 0.292724 0.088695 0.038848 0.053168 0.506720 0.025685 0.076909 -0.073259 -0.017181 0.016383 0.074714 0.264830 0.044522 -0.280789 0.072691 0.006903 0.024033 0.072311 0.135875 -0.015844 0.117115 0.038982 0.564818 0.483469 0.357438 0.167825 -0.012291 -0.196132 0.121995 0.176037 -0.055927 -0.163402 -0.133641
P05093,0.317086 0.598053 0.332727 -0.383413 0.135202 -0.687473 0.245675 0.321221 -0.245327 0.355903 0.358587 0.549245 -0.385191 0.333646 0.348192 0.335532 0.517885 0.363388 0.455083 -0.402034 0.327272 -0.450254 0.423781 -0.344744 0.223453 0.316086 0.391133 0.469195 -0.320615 0.278853 0.341031 -0.517412 0.323442 0.326923 0.432389 -0.767705 -0.380639 -0.320657 0.314790 -0.380327 -0.390810 0.342487 -0.055483 0.532978 0.519399 0.319347 0.295210 -0.375566 0.440808 0.313292 0.582782 -0.475684 0.502229 -0.107142 -0.249847 -0.320542 0.376957 0.362132 0.151774 -0.414869 0.440549 0.367357 0.470202 0.292696
P05106,0.204126 0.821098 0.126635 -0.022082 0.253872 0.185336 0.261775 0.156075 0.168312 0.527108 0.198783 0.750163 -0.087903 0.171593 0.222228 0.094824 0.626939 0.228230 0.524335 -0.125276 0.150226 -0.067433 0.625610 -0.008853 0.319598 0.138616 0.553021 0.375108 -0.230942 0.513717 0.223420 0.020574 0.073156 0.145797 0.603614 -0.599863 0.009864 -0.064356 0.083744 -0.048391 -0.043108 0.143443 0.147353 0.332376 0.773414 0.140337 0.019154 -0.054085 0.407759 0.133937 0.509572 -0.088723 0.071347 0.105387 0.037092 0.098969 0.278859 0.079900 0.032449 0.056097 0.707258 0.105108 0.401515 0.613673
P05108,0.075665 0.297729 0.396510 -0.508102 -0.169565 -0.493994 -0.079026 0.412578 -0.113783 0.009508 0.384802 0.139407 -0.291250 0.371384 0.397446 0.405073 0.208981 0.419687 0.386652 -0.478600 0.404063 -0.504646 0.134767 -0.455439 -0.109714 0.384233 0.296977 0.391531 -0.145359 -0.038083 0.397436 -0.345897 0.377259 0.406922 0.382496 -0.366325 -0.478456 -0.421494 0.397130 -0.458875 -0.490596 0.413957 0.110915 0.181713 0.289228 0.402213 0.390665 -0.449730 0.041722 0.388252 0.377481 -0.556724 0.272381 -0.039776 -0.068679 -0.070289 0.421893 0.411984 -0.102612 -0.516095 0.134881 0.420248 0.154322 0.070210
P05109,0.236957 0.408271 0.120873 -0.112099 0.123468 -0.055965 0.039943 0.112766 0.011159 0.082303 0.104367 0.235025 -0.266945 0.104914 0.124892 0.087324 0.344705 0.080938 0.269250 -0.098752 0.076357 -0.080872 0.094816 -0.060320 0.203477 0.111877 0.459978 0.265565 -0.072213 0.173847 0.106705 -0.151020 0.110407 0.072233 0.270878 -0.033690 -0.069980 -0.097779 0.100820 -0.075610 -0.036367 0.083918 -0.003412 0.162868 0.222257 0.086402 0.137131 -0.078472 0.190871 0.105884 0.229432 -0.045650 0.313888 -0.167463 -0.113391 -0.175947 0.122006 0.072990 0.115905 -0.098988 0.218878 0.125126 0.263407 0.197692
P05113,-0.270577 -0.037425 0.321275 -0.366402 -0.358066 0.021848 -0.360297 0.321503 0.248579 -0.274875 0.308207 -0.177519 0.137575 0.315379 0.328912 0.321138 -0.179983 0.336455 0.178431 -0.332308 0.323428 -0.355535 -0.196280 -0.349146 -0.359627 0.325334 -0.013180 0.183150 0.257980 -0.321237 0.332743 0.113535 0.307404 0.351635 0.170241 0.132698 -0.357915 -0.349081 0.340733 -0.356845 -0.355795 0.332227 0.349238 -0.177167 -0.172581 0.340388 0.311945 -0.344637 -0.245862 0.320052 -0.004223 -0.362474 -0.051139 0.315005 0.253841 0.311713 0.308422 0.333095 -0.346731 -0.373124 -0.148334 0.327938 -0.122174 -0.263697
P05120,-0.237203 -0.097397 0.333833 -0.380728 -0.301431 0.139984 -0.301948 0.337226 0.329920 -0.211311 0.326301 -0.105871 0.222013 0.330564 0.343663 0.358062 -0.218169 0.355050 0.169671 -0.345868 0.349041 -0.333546 -0.193421 -0.371476 -0.305868 0.336958 -0.087418 0.154794 0.212729 -0.269667 0.325757 0.178337 0.330447 0.353910 0.121021 0.126767 -0.358067 -0.367040 0.347685 -0.347195 -0.337192 0.344555 0.356653 -0.167671 -0.157169 0.362124 0.332590 -0.354032 -0.139188 0.332250 0.064220 -0.413719 -0.035646 0.352396 0.287233 0.285587 0.371681 0.361444 -0.411959 -0.366080 -0.034579 0.328237 -0.142792 -0.231145
P05121,-0.306071 0.158368 0.229426 -0.180523 -0.124358 0.276829 -0.170950 0.254525 0.517900 0.196670 0.229894 0.163492 0.248093 0.255756 0.234884 0.264841 -0.026796 0.206857 0.339170 -0.209468 0.245715 -0.010482 0.224405 -0.201510 -0.123901 0.246856 0.184203 0.291589 0.191154 0.009334 0.249799 0.249130 0.249863 0.268939 0.379388 0.188082 -0.146780 -0.233015 0.180938 -0.196477 -0.125701 0.239158 0.356093 0.054155 0.374216 0.276759 0.210799 -0.156339 0.204488 0.223778 0.413945 -0.144413 -0.134252 0.408730 0.338059 0.462044 0.301369 0.221278 -0.207307 -0.099470 0.266149 0.135490 0.018736 -0.123676
P05129,-0.200785 0.277691 0.093330 0.041678 -0.125172 0.333873 -0.221322 0.067079 0.448554 -0.168936 0.158147 -0.157279 0.505838 0.139500 0.116086 -0.034467 -0.022112 0.113500 0.072973 0.006826 0.079764 -0.201015 -0.264613 0.054435 -0.057861 0.046158 -0.304726 0.069715 0.413760 -0.206467 0.108392 0.510469 0.091069 0.054085 -0.016293 -0.133518 0.005047 -0.016555 0.070886 0.026903 -0.055109 0.050134 0.332333 -0.265696 -0.059249 -0.008841 -0.094270 -0.010555 -0.022499 0.004507 -0.344858 0.039889 -0.010520 0.336538 0.236834 0.271293 0.068253 0.029094 -0.202432 0.013243 -0.136947 0.073653 -0.087489 -0.153376
P05141,2.079054 0.296047 -0.875793 0.850638 1.609936 -1.111514 1.648828 -0.909605 -1.890928 1.148379 -1.055664 0.628244 -1.426254 -1.091272 -1.167459 -0.891840 0.395463 -0.905892 -0.529153 0.908406 -1.042013 1.143856 1.429622 0.887559 1.548611 -0.959723 -0.104712 0.025061 -1.825774 1.466097 -1.177319 -2.215378 -0.894519 -1.114560 -0.263640 -1.076221 0.943947 1.134948 -0.925920 0.861251 0.935981 -1.050864 -1.786529 1.038170 0.491615 -0.958378 -0.632727 0.893036 1.597908 -0.924069 0.456724 0.799779 1.235996 -1.785318 -1.620106 -1.959662 -1.087280 -0.917650 1.625549 0.849250 0.565457 -0.813328 0.923030 1.913836
P05154,-0.158257 0.439360 0.139071 -0.050064 0.037257 0.141408 0.135392 0.155638 0.376852 0.475669 0.175297 0.656340 0.041638 0.191988 0.192473 0.195192 0.283947 0.151899 0.497825 -0.190034 0.164566 0.123034 0.626501 -0.098175 0.060627 0.186480 0.564940 0.368577 -0.034660 0.250245 0.226694 0.219896 0.183766 0.234090 0.619050 -0.120060 -0.023860 -0.143540 0.007298 -0.114244 -0.019132 0.188376 0.328372 0.399220 0.747941 0.241759 0.067383 -0.045625 0.488732 0.183897 0.700355 0.014496 -0.187486 0.390429 0.377688 0.394941 0.256786 0.135287 0.003931 0.063956 0.695895 0.012416 0.379451 0.075707
P05155,-0.134998 0.299051 0.191750 -0.147198 -0.016103 0.066416 0.053194 0.205599 0.204465 0.222547 0.236846 0.439985 0.026660 0.232708 0.237495 0.224314 0.204166 0.222403 0.380155 -0.240599 0.198558 -0.065984 0.497104 -0.188181 0.006475 0.214896 0.348602 0.298763 -0.028118 0.114235 0.257250 0.103157 0.209031 0.262492 0.414153 -0.165038 -0.138958 -0.197231 0.121650 -0.225333 -0.170381 0.251222 0.237172 0.276006 0.365098 0.274515 0.167853 -0.164409 0.244419 0.234090 0.421664 -0.164853 -0.041410 0.330055 0.269811 0.325559 0.279176 0.199522 -0.020044 -0.098593 0.473987 0.125380 0.269465 0.000238
P05156,-0.252521 0.018999 0.330048 -0.376940 -0.309667 0.007266 -0.292179 0.331459 0.249285 -0.180927 0.331352 -0.119716 0.119354 0.325936 0.338543 0.336481 -0.138591 0.347796 0.193410 -0.354187 0.326645 -0.342305 -0.148184 -0.370873 -0.289956 0.337049 0.008264 0.184503 0.193906 -0.244969 0.342104 0.092623 0.315171 0.358055 0.185911 0.054894 -0.359886 -0.350937 0.334578 -0.374836 -0.372783 0.347315 0.336722 -0.119719 -0.113039 0.352541 0.314886 -0.366711 -0.147083 0.332620 0.030407 -0.395744 -0.043798 0.291906 0.274277 0.321736 0.337446 0.339227 -0.334306 -0.366390 -0.048036 0.332377 -0.077167 -0.226773
P05160,-0.275415 -0.062311 0.336466 -0.377221 -0.346049 0.052020 -0.343557 0.331571 0.293008 -0.263475 0.326412 -0.151414 0.170370 0.332457 0.343149 0.339810 -0.192263 0.352017 0.159582 -0.340316 0.331883 -0.358153 -0.224902 -0.376838 -0.369047 0.336125 -0.041479 0.169316 0.253694 -0.300462 0.340940 0.130177 0.318768 0.362729 0.160055 0.137353 -0.366180 -0.359014 0.347723 -0.373104 -0.369132 0.352591 0.364807 -0.208055 -0.210086 0.355979 0.331953 -0.369764 -0.240512 0.334639 -0.021956 -0.389355 -0.044302 0.309699 0.289968 0.323380 0.327186 0.351873 -0.383452 -0.380440 -0.128594 0.342924 -0.135075 -0.238310
P05164,-0.481464 -0.263171 0.276351 -0.290732 -0.468452 0.358733 -0.501427 0.275214 0.516181 -0.454788 0.268709 -0.335978 0.444861 0.299054 0.292236 0.281670 -0.422601 0.293944 0.023354 -0.252466 0.282446 -0.255579 -0.432815 -0.315329 -0.528718 0.293266 -0.227161 0.023505 0.523233 -0.522923 0.292434 0.404573 0.284122 0.327150 0.014046 0.464912 -0.282312 -0.308058 0.303457 -0.307855 -0.293569 0.303109 0.508603 -0.425049 -0.492947 0.312445 0.277356 -0.301923 -0.410129 0.289026 -0.224632 -0.270854 -0.261673 0.521744 0.500468 0.524071 0.254454 0.301912 -0.512307 -0.281576 -0.323361 0.269308 -0.304837 -0.447027
P05177,-0.446768 -0.189579 0.253720 -0.237921 -0.413000 0.323622 -0.425162 0.247762 0.477952 -0.388735 0.258427 -0.213601 0.406161 0.286962 0.279006 0.254947 -0.332954 0.268253 0.044168 -0.232325 0.256063 -0.225106 -0.351619 -0.270803 -0.483189 0.266937 -0.165441 0.035797 0.473511 -0.441345 0.279245 0.370990 0.263762 0.309636 0.046098 0.407772 -0.247932 -0.273976 0.269627 -0.278591 -0.257514 0.278024 0.468227 -0.334615 -0.440033 0.284819 0.241081 -0.264458 -0.323453 0.270285 -0.152076 -0.225084 -0.199298 0.522157 0.479265 0.491469 0.242692 0.273840 -0.431356 -0.248944 -0.234014 0.242613 -0.195343 -0.415154
P05181,-0.335167 -0.174037 0.297913 -0.271018 -0.294795 0.354666 -0.321320 0.280130 0.408273 -0.298948 0.286226 -0.086272 0.386769 0.313483 0.302662 0.281639 -0.304494 0.289356 0.047962 -0.288594 0.304717 -0.296275 -0.253172 -0.299002 -0.377002 0.302126 -0.223485 0.068855 0.332477 -0.387669 0.307993 0.334116 0.306547 0.321806 0.044017 0.392809 -0.265443 -0.278634 0.285016 -0.289306 -0.307903 0.303776 0.395311 -0.289952 -0.425638 0.312101 0.281595 -0.278561 -0.199084 0.317577 -0.043811 -0.300738 -0.229124 0.514239 0.480011 0.374009 0.322308 0.302216 -0.421687 -0.297628 -0.197762 0.272117 -0.127184 -0.366251
P05186,-0.497623 -0.244064 0.264388 -0.274927 -0.446621 0.370518 -0.472653 0.264581 0.516709 -0.389336 0.259049 -0.320988 0.440177 0.291797 0.278661 0.268542 -0.420003 0.280305 0.036323 -0.232247 0.267284 -0.238573 -0.409857 -0.297005 -0.505701 0.276175 -0.228355 0.032149 0.498703 -0.485406 0.281678 0.388480 0.274740 0.316142 0.031654 0.467082 -0.269881 -0.284358 0.299421 -0.295446 -0.273070 0.294017 0.491478 -0.402487 -0.473349 0.296087 0.268523 -0.282595 -0.360774 0.271382 -0.223964 -0.245265 -0.267385 0.525994 0.495199 0.513965 0.246683 0.291072 -0.505134 -0.263455 -0.317984 0.261270 -0.295958 -0.442650
P05187,0.496717 0.608695 0.517921 -0.716611 0.071161 -0.995814 0.169574 0.547860 -0.502218 0.354735 0.504351 0.455731 -0.759271 0.446593 0.514546 0.530876 0.549612 0.545933 0.609092 -0.665457 0.520981 -0.734203 0.573837 -0.614683 0.211098 0.492335 0.539878 0.592676 -0.642252 0.282428 0.502089 -0.870864 0.489739 0.486730 0.597182 -0.928833 -0.662223 -0.534216 0.518252 -0.617610 -0.678070 0.536493 -0.159747 0.568326 0.776524 0.500265 0.513195 -0.619499 0.409720 0.494491 0.669593 -0.853178 0.597920 -0.409507 -0.460975 -0.513562 0.593625 0.532860 0.104199 -0.732564 0.474852 0.585760 0.396455 0.438178
P05230,-0.322596 -0.087742 0.149556 -0.137735 -0.149229 0.307556 -0.263448 0.149428 0.372445 -0.072964 0.184707 -0.075516 0.256246 0.164548 0.180953 0.128712 -0.225391 0.206201 0.016351 -0.138588 0.147446 -0.068378 -0.157511 -0.149367 -0.275498 0.145554 -0.119986 0.020775 0.216336 -0.180070 0.177009 0.216302 0.127738 0.206262 0.066391 0.088480 -0.127526 -0.154205 0.163918 -0.156034 -0.115971 0.152468 0.303676 -0.190423 -0.201641 0.184016 0.118692 -0.163579 -0.117658 0.147517 -0.079983 -0.141855 -0.228179 0.358798 0.250022 0.418445 0.174080 0.154029 -0.323999 -0.087739 -0.067399 0.161277 -0.091133 -0.168390
P05231,0.005765 0.235635 0.347282 -0.429528 -0.170945 -0.372773 -0.098550 0.368338 -0.020022 0.003747 0.359155 0.129235 -0.149914 0.338582 0.369174 0.352622 0.125409 0.387284 0.311590 -0.419864 0.361547 -0.434251 0.075274 -0.395583 -0.131848 0.348324 0.235067 0.319664 -0.037809 -0.081334 0.366717 -0.198385 0.342782 0.371892 0.292231 -0.268395 -0.417657 -0.377758 0.366448 -0.407512 -0.418590 0.367511 0.154808 0.154301 0.185426 0.361332 0.342374 -0.391860 0.008122 0.348447 0.278946 -0.472490 0.196766 0.075482 0.032898 0.039703 0.379457 0.379763 -0.131955 -0.448456 0.122383 0.385706 0.142177 -0.028830
P05362,0.611375 -0.593388 -1.041531 0.990365 1.178100 0.279824 0.987751 -0.943216 -0.215431 0.928609 -0.979184 1.093078 -0.315038 -0.999893 -0.880323 -0.861183 -0.214443 -0.969492 -0.733019 1.013849 -0.885256 1.409671 0.623115 0.918115 0.442124 -0.954936 0.079349 -0.517213 -0.533068 0.717102 -0.879845 0.119081 -0.950101 -0.749832 -0.280510 0.116654 1.037415 1.023853 -1.056651 1.060951 1.200368 -0.872813 -0.384704 0.662247 0.807096 -0.792526 -0.803572 1.213583 0.392696 -0.837324 0.293263 1.110862 -0.041239 -0.090173 -0.087149 -0.156802 -0.850024 -0.865879 0.642408 1.164617 0.074782 -1.018354 0.310728 0.463972
