uniprot_id,seq_features
P41597,"0.200985,0.241593,0.305355,-0.296583,0.214498,0.215862,0.259592,-0.221307,0.237236,-0.220368,0.222044,0.252501,-0.212039,-0.255884,-0.245293,-0.257995,-0.296438,0.271037,-0.332702,-0.212424,-0.220913,0.277455,0.253823,0.254986,-0.184203,-0.244294,0.263843,0.256849,0.288870,-0.212079,-0.252237,-0.250847,0.277854,-0.202133,0.207119,0.255955,-0.283127,-0.272245,0.238656,-0.308556,0.237418,-0.268890,0.209696,-0.260558,0.247028,0.231492,-0.235458,-0.225248,-0.233748,0.231406,0.244179,0.200784,-0.253500,0.249434,-0.235266,-0.235196,-0.287952,0.225978,0.247670,-0.256595,-0.225312,0.279921,0.260929,0.260829"
P27487,"-0.168724,-0.929468,-0.993221,0.519882,-0.644328,-0.477378,-0.733321,0.789765,-0.507248,0.853884,-0.693221,-0.697347,0.816498,0.562472,0.904240,0.789833,1.232044,-0.470718,0.750668,0.638052,0.668954,-0.895737,-0.695176,-0.580665,0.492264,0.773160,-0.594601,-0.667877,-0.563831,0.582470,0.825382,0.406365,-0.794782,0.777467,-0.675836,-0.707818,1.035321,0.711231,-0.904393,1.087138,-0.451860,1.257404,-0.519862,1.034435,-0.899732,-0.971716,0.888076,0.868217,0.699304,-1.098745,-1.012013,-0.065374,0.839850,-1.183029,0.738026,0.424053,0.723745,-0.445695,-0.975141,0.659469,0.826799,-0.923313,-0.516715,-0.353052"
Q13547,"-2.350229,-2.194191,-1.610124,1.918700,-1.920939,-1.845616,-2.098965,2.403169,-1.918426,0.857407,-2.544672,-1.504532,1.290058,1.731062,1.597671,1.133505,2.681342,-1.198847,0.929340,1.975239,1.720262,-1.139793,-2.443293,-1.906797,1.935566,2.278603,-1.028217,-1.613530,0.052298,1.838294,1.661581,0.990583,0.282421,1.727683,-2.394340,-1.899348,2.454456,1.829578,-2.193364,0.032668,-1.193025,1.425612,-2.216258,0.397084,-1.624156,-2.264462,2.450801,1.842414,2.499839,-1.588788,-1.262080,-1.033057,0.934806,0.852213,2.403052,2.549015,-0.360682,-1.877977,-1.535044,1.817604,1.223720,-1.042968,-1.606167,-1.888840"
P42338,"-0.018412,-0.002362,0.035436,0.056573,-0.031641,0.014776,-0.003616,0.017440,-0.019416,-0.060487,-0.020421,-0.006897,0.007195,-0.032017,0.006736,-0.068762,0.058528,0.054230,0.027426,0.003222,-0.031593,0.010688,-0.016406,-0.014326,-0.016741,0.034608,0.032846,-0.008869,-0.050404,-0.012580,-0.038552,-0.045196,0.063615,-0.004650,-0.019126,-0.003823,0.061520,0.003752,-0.010910,-0.107448,-0.008133,0.032701,0.009740,-0.045773,0.003056,-0.028407,0.036814,0.007482,-0.005348,0.005568,-0.008333,-0.007542,0.012838,0.063338,0.023054,0.061542,-0.016094,0.010141,-0.018250,0.001479,-0.034286,-0.031128,-0.039796,0.012309"
P04293,"0.975016,0.607624,1.282306,-0.930353,0.623857,0.602713,0.641074,-0.538529,0.549238,-0.803133,0.604199,0.960705,-0.656495,-0.893875,-0.751812,-0.828337,-0.782217,0.741521,-1.440275,-0.492192,-0.767027,0.754566,0.739760,0.699069,-0.471886,-0.629786,0.790899,0.699198,1.399351,-0.682340,-0.643041,-0.911303,1.114317,-0.529489,0.627324,0.603717,-0.877909,-0.960982,0.544804,-1.251130,0.867030,-0.771750,0.592952,-0.968390,0.557264,0.830936,-0.826165,-0.674747,-0.574951,0.685556,0.662733,1.063828,-0.630051,1.222275,-0.575741,-0.734107,-1.479604,0.574710,0.655055,-0.698129,-0.889970,1.011254,0.761854,0.763874"
P08514,"0.190301,0.075117,0.137956,-0.155233,0.144979,0.100413,0.085838,-0.081271,0.099099,-0.105322,0.118511,0.123089,-0.108171,-0.145178,-0.116375,-0.122060,-0.079252,0.114492,-0.146424,-0.084997,-0.105769,0.089968,0.101837,0.113447,-0.082497,-0.087305,0.100470,0.099755,0.165765,-0.134622,-0.078873,-0.110814,0.130351,-0.071965,0.114429,0.114490,-0.133516,-0.107039,0.073362,-0.069966,0.160107,-0.105719,0.106134,-0.119877,0.088983,0.076811,-0.123702,-0.085661,-0.085004,0.068941,0.087299,0.159486,-0.089695,0.061914,-0.112464,-0.125075,-0.168485,0.086151,0.090113,-0.108221,-0.103359,0.160738,0.163966,0.140654"
P05106,"0.070370,-0.645471,-0.205353,0.211670,-0.330274,-0.498870,-0.574707,0.613080,-0.515301,0.527580,-0.420747,-0.374376,0.489877,0.234079,0.300986,0.303991,0.506230,-0.551494,0.369556,0.573286,0.434160,-0.422820,-0.354070,-0.441053,0.613453,0.572945,-0.396839,-0.553459,-0.219282,0.251470,0.621830,0.473413,-0.219367,0.673784,-0.381435,-0.438477,0.323622,0.569426,-0.632127,0.657072,-0.260642,0.418790,-0.463356,0.301473,-0.586383,-0.636782,0.231002,0.538903,0.571341,-0.570706,-0.620969,-0.224887,0.608784,-0.780241,0.352575,0.276540,0.106674,-0.639115,-0.565936,0.519076,0.419563,-0.218027,-0.161387,-0.158860"
P04626,"-1.545146,-4.681118,-2.582419,2.765434,-3.535467,-4.089384,-4.545165,4.502949,-4.362967,3.906859,-3.920592,-3.102316,3.975274,2.618323,3.157954,2.920964,4.305891,-4.155580,3.110577,4.480973,3.857113,-3.643144,-3.509054,-3.704657,4.665779,4.374442,-3.461694,-4.208620,-2.663590,3.185986,4.478851,3.647848,-2.412059,4.844157,-3.862709,-4.003378,3.393653,4.011621,-4.698522,4.046650,-3.061857,3.782941,-3.989842,2.965865,-4.462988,-4.633734,2.992894,4.189335,4.406323,-4.456876,-4.648418,-2.736950,4.410360,-4.313954,3.638132,3.206132,1.899415,-4.787190,-4.294750,4.185865,3.421242,-2.754118,-2.595273,-2.677275"
P08238,"-9.269404,-11.314769,-9.954187,11.587085,-10.880143,-10.876284,-11.078210,13.024273,-10.266257,9.840367,-12.725050,-11.113343,8.561757,11.061769,6.483050,7.504759,11.647519,-11.326423,12.179887,10.485319,11.448401,-6.489196,-9.503902,-10.891071,11.281185,11.698527,-6.724593,-11.399151,-5.369597,9.941933,12.077043,11.676260,-3.714723,11.208651,-10.365443,-9.701997,11.923340,12.575679,-11.763701,7.644636,-8.885081,5.087996,-11.376697,4.702970,-9.088515,-13.996575,7.591968,10.869030,13.152272,-7.465046,-8.563004,-10.857927,9.305389,-9.050824,8.736579,8.544180,5.550852,-11.531627,-7.841248,11.560291,7.914684,-6.239034,-6.403380,-8.072040"
Q8TEK3,"0.183688,0.191880,0.191385,-0.198660,0.196232,0.183836,0.191261,-0.190129,0.190962,-0.186828,0.193092,0.192947,-0.198471,-0.186192,-0.203162,-0.188607,-0.204274,0.176995,-0.190002,-0.191277,-0.184150,0.198580,0.195496,0.191352,-0.180448,-0.196530,0.187726,0.192742,0.197243,-0.190988,-0.181751,-0.171312,0.187308,-0.189731,0.193138,0.193369,-0.205370,-0.184907,0.192316,-0.172864,0.193260,-0.210715,0.185060,-0.198944,0.195052,0.190762,-0.206590,-0.194105,-0.183532,0.197670,0.199142,0.175438,-0.199045,0.178437,-0.199559,-0.196065,-0.193015,0.178975,0.201605,-0.190821,-0.189807,0.210229,0.205810,0.188619"
Q02763,"0.364497,-0.210915,0.183844,-0.185665,0.052848,-0.050369,-0.173801,0.156882,-0.113628,-0.030484,-0.068185,0.147918,0.045453,-0.255875,-0.034479,-0.134729,0.213103,0.020072,-0.294830,0.142163,-0.002256,-0.055880,-0.053068,0.029348,0.152140,0.138460,0.045848,-0.034764,0.335639,-0.089975,0.102583,-0.164767,0.293526,0.166581,-0.073062,-0.106994,-0.023763,-0.033140,-0.189865,-0.008957,0.208071,0.161293,-0.070981,-0.141517,-0.170755,-0.136098,0.020801,0.105385,0.135387,-0.197914,-0.169402,0.368080,0.081971,0.075943,0.100827,-0.002233,-0.426413,-0.130461,-0.124452,0.066709,-0.055464,0.167148,0.138554,0.144760"
Q12908,"-0.071678,-0.335439,-0.414641,0.201338,-0.263908,-0.208540,-0.319228,0.261376,-0.272792,0.376751,-0.257354,-0.233241,0.366684,0.206727,0.358046,0.333994,0.432020,-0.250653,0.331139,0.252837,0.280628,-0.419457,-0.248072,-0.220740,0.198840,0.277406,-0.276808,-0.287549,-0.395286,0.266680,0.304272,0.136841,-0.367765,0.282965,-0.253110,-0.345902,0.354747,0.222405,-0.305557,0.509769,-0.216048,0.571207,-0.230363,0.494713,-0.393626,-0.324614,0.345651,0.318281,0.219330,-0.462111,-0.449720,-0.107672,0.373338,-0.470329,0.299265,0.149023,0.423588,-0.210470,-0.399397,0.295905,0.327565,-0.471544,-0.301905,-0.217610"
P21728,"0.169918,0.074828,0.169055,-0.117724,0.101131,0.124396,0.075272,-0.071832,0.070601,-0.181159,0.067629,0.151017,-0.110232,-0.190611,-0.131084,-0.207433,-0.029403,0.147813,-0.144174,-0.084495,-0.151509,0.135030,0.103912,0.116503,-0.089112,-0.062031,0.160486,0.100756,0.125524,-0.145377,-0.134572,-0.181774,0.231620,-0.088930,0.089354,0.097294,-0.092278,-0.101207,0.073132,-0.191771,0.135768,-0.081934,0.114231,-0.189348,0.090113,0.066560,-0.098493,-0.108705,-0.090389,0.077863,0.074699,0.180687,-0.098531,0.192103,-0.083115,-0.073634,-0.204936,0.085889,0.080287,-0.096458,-0.154275,0.134924,0.122173,0.155173"
Q13639,"0.144883,0.167863,0.150701,-0.138859,0.152555,0.169037,0.171394,-0.162792,0.167182,-0.170843,0.157468,0.143009,-0.162383,-0.154874,-0.169913,-0.168629,-0.163577,0.160592,-0.122726,-0.167748,-0.174843,0.174492,0.177150,0.161203,-0.165948,-0.162169,0.163050,0.159172,0.121999,-0.169089,-0.167486,-0.146742,0.152754,-0.166188,0.170447,0.175333,-0.156143,-0.137246,0.164299,-0.156940,0.138394,-0.176226,0.174001,-0.165743,0.171075,0.154115,-0.176441,-0.170158,-0.165291,0.170724,0.165181,0.143771,-0.154774,0.135507,-0.173765,-0.158671,-0.133102,0.167360,0.160735,-0.160045,-0.160702,0.156330,0.160258,0.168747"
P06401,"0.126411,0.060500,0.102060,-0.105599,0.080956,0.074737,0.027838,-0.048320,0.041978,-0.159515,0.012993,0.162772,-0.135915,-0.136951,-0.122585,-0.175690,0.015384,0.113683,-0.181694,-0.063802,-0.059649,0.116112,0.053803,0.114331,-0.043335,-0.059971,0.137390,0.091175,0.198197,-0.062474,-0.073574,-0.132275,0.241963,-0.071875,0.037596,0.048420,-0.070599,-0.128556,0.036953,-0.195546,0.139019,-0.128535,0.054510,-0.189948,0.092455,0.037462,-0.088317,-0.067042,-0.036079,0.060415,0.098447,0.136946,-0.139094,0.264788,-0.045442,-0.081082,-0.237306,0.045918,0.124531,-0.077644,-0.144603,0.191749,0.170731,0.084426"
Q02127,"0.167574,0.179100,0.178459,-0.162940,0.173699,0.171952,0.177079,-0.174813,0.175956,-0.172170,0.174139,0.163311,-0.178397,-0.161813,-0.178830,-0.171625,-0.180216,0.162713,-0.158831,-0.176032,-0.177722,0.181008,0.180678,0.172714,-0.171393,-0.176631,0.169660,0.169947,0.157665,-0.178147,-0.169213,-0.152437,0.154596,-0.173020,0.180240,0.180725,-0.175190,-0.158049,0.173438,-0.162091,0.160325,-0.189920,0.177811,-0.173045,0.182492,0.171430,-0.187669,-0.174195,-0.173290,0.183769,0.178187,0.152769,-0.170346,0.139846,-0.183584,-0.173033,-0.163822,0.170179,0.177476,-0.178453,-0.170090,0.181930,0.180289,0.180673"
P24941,"-2.233144,-1.591270,-1.458713,1.584812,-1.480212,-1.387999,-1.432359,1.715914,-1.296957,0.706420,-1.842442,-1.391908,0.994479,1.567967,1.428949,1.150524,1.951300,-0.833682,0.896995,1.414790,1.265113,-0.894741,-1.967343,-1.520780,1.366786,1.663662,-0.967841,-1.140586,-0.158732,1.459440,1.203691,0.865119,-0.128429,1.180837,-1.823839,-1.343048,1.973074,1.480397,-1.573278,0.140601,-1.115930,1.149408,-1.658036,0.511297,-1.143242,-1.601222,2.062420,1.361822,1.831013,-1.198327,-0.823609,-0.941097,0.620966,0.598428,1.885628,2.139834,0.000277,-1.281793,-1.207143,1.302473,1.156711,-1.001350,-1.430745,-1.613685"
P50613,"-0.512909,-0.279827,-0.352038,0.357907,-0.308297,-0.268347,-0.254608,0.344249,-0.202483,0.118670,-0.410936,-0.309634,0.127324,0.381038,0.248369,0.217334,0.377959,-0.160662,0.174958,0.240248,0.278337,-0.107330,-0.382594,-0.286102,0.263057,0.307421,-0.153863,-0.203389,0.052771,0.323020,0.250761,0.225684,0.020963,0.195788,-0.356084,-0.245501,0.408616,0.306627,-0.302289,-0.026711,-0.228341,0.079105,-0.329994,0.031370,-0.153458,-0.327399,0.370540,0.267979,0.381599,-0.162377,-0.063045,-0.238451,0.042136,0.185025,0.353308,0.393907,-0.013318,-0.224280,-0.135142,0.243077,0.222317,-0.108258,-0.205996,-0.328316"
P06493,"-1.758796,-1.282555,-1.261118,1.460337,-1.296721,-1.143152,-1.171633,1.439096,-1.054225,0.612444,-1.559079,-1.214233,0.838497,1.304502,1.127986,0.888732,1.616746,-0.750214,0.886992,1.140835,1.097328,-0.753689,-1.543893,-1.258499,1.122853,1.372353,-0.786427,-0.990099,-0.240587,1.241686,1.066507,0.860340,-0.153237,0.986009,-1.460565,-1.174507,1.658516,1.253248,-1.320420,0.165770,-0.950171,0.869910,-1.348042,0.409054,-0.919086,-1.392998,1.579793,1.181887,1.509332,-0.928921,-0.704145,-0.911647,0.594893,0.293726,1.482906,1.651788,0.207980,-1.048503,-0.925602,1.114313,0.945904,-0.771374,-1.108619,-1.267699"
P34972,"-0.301937,-0.892639,-0.616570,0.600542,-0.771574,-0.906372,-1.055046,0.696483,-1.104515,1.013218,-0.710540,-0.576594,1.137239,0.518166,1.084481,0.936226,0.848071,-0.962331,0.547453,1.033056,0.787629,-1.299305,-0.834692,-0.746843,0.954978,0.849104,-1.159830,-0.968412,-1.345739,0.818996,0.810222,0.665775,-1.319371,1.020864,-0.838608,-1.069584,0.560242,0.592639,-0.873637,1.125124,-0.973326,1.427061,-0.812825,1.334007,-1.147613,-0.638531,0.914647,0.920239,0.607516,-1.274845,-1.341766,-0.642820,1.243486,-1.215021,0.992384,0.823898,1.072566,-0.981373,-1.220760,0.865908,0.955719,-1.138587,-1.056074,-0.852564"
O14757,"-0.546244,-0.367487,-0.263266,0.363628,-0.322615,-0.317831,-0.323414,0.426440,-0.246211,0.001736,-0.490159,-0.252220,0.118387,0.315495,0.279421,0.170912,0.503047,-0.085910,-0.085142,0.303029,0.232637,-0.113502,-0.508562,-0.298884,0.318928,0.380096,-0.125752,-0.162103,0.360286,0.338822,0.244788,0.074644,0.255207,0.198396,-0.444849,-0.312178,0.466012,0.238837,-0.369341,-0.309257,-0.135123,0.110594,-0.418489,-0.139441,-0.193939,-0.339038,0.508792,0.328844,0.459213,-0.199648,-0.019120,-0.025760,-0.021360,0.557971,0.497057,0.544884,-0.383038,-0.230831,-0.154067,0.248587,0.163663,-0.005069,-0.237920,-0.371059"
P25103,"0.088753,0.105873,0.067489,-0.026780,0.060995,0.074380,0.072505,-0.096049,0.050655,-0.043062,0.077703,0.060007,-0.039703,-0.067536,-0.059904,-0.060746,-0.081123,0.054069,-0.018208,-0.074932,-0.065030,0.026855,0.094540,0.071014,-0.094176,-0.077517,0.053809,0.037987,-0.059647,-0.055487,-0.092924,-0.070680,-0.007905,-0.077844,0.094342,0.052489,-0.075353,-0.099054,0.102561,-0.065807,0.023728,-0.029058,0.084694,-0.004675,0.068486,0.090237,-0.079696,-0.067875,-0.117642,0.076589,0.036088,0.023984,-0.009500,-0.018633,-0.083134,-0.085511,0.055029,0.090223,0.063356,-0.059727,-0.076701,0.000769,0.025135,0.054538"
Q9NY91,"0.187677,0.140023,0.187295,-0.192329,0.165474,0.135501,0.128308,-0.145811,0.115809,-0.151039,0.154152,0.190928,-0.144739,-0.189195,-0.161541,-0.172008,-0.154489,0.137502,-0.189512,-0.130518,-0.139335,0.135536,0.148494,0.154103,-0.121087,-0.144624,0.146061,0.143928,0.156588,-0.149752,-0.146281,-0.162876,0.170010,-0.133592,0.144163,0.131085,-0.191528,-0.177354,0.146429,-0.141107,0.175080,-0.138963,0.134573,-0.159032,0.130512,0.156274,-0.160427,-0.147922,-0.145539,0.126076,0.129660,0.156594,-0.141249,0.162954,-0.145837,-0.153625,-0.171894,0.114736,0.144603,-0.139690,-0.160398,0.170049,0.160635,0.142636"
P62942,"0.013135,-0.171415,0.121255,-0.063776,-0.031851,-0.069169,-0.153090,0.180545,-0.143353,-0.120606,-0.167859,0.110618,-0.003154,-0.114125,0.007465,-0.140519,0.234543,0.059073,-0.213602,0.139351,0.014521,0.041481,-0.167520,-0.061414,0.143572,0.186376,0.096612,-0.023676,0.317095,0.010784,0.025807,-0.169618,0.400892,0.098910,-0.170391,-0.110325,0.081775,0.009241,-0.152922,-0.249121,0.126618,0.076445,-0.139430,-0.237067,-0.093352,-0.129334,0.164802,0.057238,0.186098,-0.102295,-0.054627,0.194152,-0.054852,0.435769,0.178636,0.191886,-0.438589,-0.152267,-0.068364,0.083969,-0.085215,0.114264,0.010261,-0.015467"
P01111,"-0.139447,-0.267798,-0.014688,0.072116,-0.123987,-0.199713,-0.173520,0.259321,-0.152121,0.171669,-0.162966,-0.191462,0.154663,0.142563,0.109748,0.121495,0.099703,-0.210552,0.095170,0.215872,0.111361,-0.055820,-0.165930,-0.234719,0.240341,0.247991,-0.115322,-0.187522,0.043839,0.046412,0.194494,0.167845,0.030835,0.223086,-0.156940,-0.139506,0.125412,0.307691,-0.211193,0.178373,-0.108377,0.111934,-0.209264,0.011699,-0.205370,-0.184947,0.135444,0.153811,0.259516,-0.130177,-0.153174,-0.070168,0.154178,-0.135670,0.156984,0.230867,-0.084728,-0.254009,-0.203535,0.213277,0.161241,-0.070279,-0.134841,-0.083289"
P13569,"-1.557082,-4.554974,-1.980634,2.914638,-3.959616,-4.225013,-5.231499,3.959112,-5.770700,3.944860,-4.026452,-2.434848,5.105302,1.826919,4.478798,2.847618,4.639166,-4.090499,2.461169,5.083333,3.780534,-5.276620,-4.235489,-3.910746,4.729395,4.724963,-4.261661,-4.735633,-5.462015,3.768863,3.442411,2.460398,-3.767118,4.954662,-4.462960,-5.174360,3.165624,2.825012,-4.330949,3.676448,-3.885964,6.413591,-4.108301,4.650763,-5.410024,-3.620633,4.508620,4.299626,3.491520,-5.684493,-6.188861,-2.919759,5.612865,-3.816307,4.856670,4.408586,3.927490,-5.066453,-5.447968,4.563247,3.575542,-5.005960,-5.002560,-3.845344"
P98170,"-1.717032,-2.259377,-1.610489,2.140204,-2.296507,-2.275735,-2.570647,2.132766,-2.969039,2.194818,-2.177075,-1.738116,2.764041,1.503636,2.456706,1.819364,2.377885,-2.119405,2.071420,2.554187,2.209975,-2.835274,-2.365198,-2.273408,2.286456,2.491380,-2.287756,-2.502943,-3.230778,2.340791,1.818769,1.484684,-2.156648,2.383996,-2.408708,-2.710546,2.088656,1.575107,-2.129165,1.868362,-2.189725,3.323007,-2.307344,2.585422,-2.691767,-2.009423,2.683731,2.292110,1.864101,-2.688942,-3.003076,-2.222466,2.885613,-1.958363,2.546906,2.497807,2.708865,-2.482142,-2.758081,2.484679,2.000896,-3.059546,-3.074314,-2.456718"
Q13490,"-1.273682,-1.675185,-1.054233,1.520446,-1.668513,-1.622909,-1.850977,1.589697,-2.164243,1.467922,-1.616815,-1.231282,1.979217,0.983893,1.731448,1.184250,1.793826,-1.426093,1.451367,1.860614,1.534440,-1.932905,-1.715777,-1.663063,1.641952,1.851849,-1.531777,-1.803936,-2.236424,1.623928,1.240039,0.912807,-1.329653,1.716934,-1.769284,-1.891963,1.548787,1.148001,-1.548535,1.128028,-1.561179,2.412251,-1.654726,1.711149,-1.950346,-1.473747,1.952285,1.613909,1.389262,-1.941399,-2.137136,-1.455587,2.069214,-1.212950,1.854927,1.900634,1.783408,-1.769857,-2.019878,1.814016,1.357271,-2.185756,-2.257971,-1.725457"
Q13489,"0.022930,-0.104696,-0.008933,0.098610,-0.118751,-0.081482,-0.144870,0.087992,-0.187107,0.076167,-0.104624,-0.036596,0.166343,-0.025966,0.111987,0.005063,0.141445,-0.088868,0.101423,0.133572,0.061494,-0.158237,-0.078832,-0.086870,0.107253,0.137690,-0.092854,-0.141112,-0.278329,0.076764,0.042850,0.014052,-0.094672,0.128279,-0.103953,-0.153434,0.082378,0.054165,-0.100918,0.072765,-0.118640,0.232230,-0.073915,0.130394,-0.160193,-0.091823,0.115616,0.101838,0.042440,-0.165483,-0.224145,-0.082001,0.207648,-0.128600,0.121370,0.116751,0.179171,-0.131326,-0.176359,0.131439,0.063668,-0.193204,-0.176220,-0.069203"
Q96CA5,"-0.585287,-0.835798,-0.273736,0.500396,-0.701815,-0.746235,-0.883957,0.852729,-1.042156,0.327664,-0.819775,-0.330745,0.718902,0.335859,0.705921,0.294422,0.960235,-0.430137,0.170393,0.908250,0.675094,-0.739773,-0.991799,-0.799868,0.808658,0.911103,-0.474143,-0.703702,-0.281153,0.746427,0.507018,0.136013,0.041675,0.772540,-0.952106,-0.907495,0.690063,0.319042,-0.762298,-0.044262,-0.334277,0.995521,-0.885195,0.359684,-0.827989,-0.695992,1.026763,0.734295,0.818620,-0.851004,-0.783803,-0.330333,0.623696,0.330358,1.016319,1.005088,0.011170,-0.845769,-0.790702,0.771064,0.400266,-0.650754,-0.871618,-0.868133"
O15392,"-0.865917,-1.169762,-0.743574,1.150769,-1.195733,-1.103489,-1.343854,1.199873,-1.528647,0.764125,-1.285847,-0.757062,1.228602,0.649467,1.143428,0.584145,1.499823,-0.810373,0.806607,1.287781,1.083108,-1.287471,-1.291846,-1.119707,1.146824,1.353009,-0.916828,-1.223427,-1.213178,1.192746,0.869522,0.567165,-0.507822,1.159626,-1.302937,-1.399963,1.200034,0.702395,-1.183928,0.445300,-0.891327,1.495073,-1.204668,0.911693,-1.250132,-1.167509,1.392385,1.188197,1.072998,-1.323222,-1.377779,-0.941620,1.257202,-0.326052,1.379368,1.333059,0.908521,-1.209527,-1.251171,1.221558,0.805310,-1.231893,-1.370996,-1.205964"
P47989,"0.259487,0.253475,0.309788,-0.281686,0.254824,0.247219,0.272763,-0.261699,0.262366,-0.272879,0.270910,0.266432,-0.271170,-0.244108,-0.285514,-0.256927,-0.315101,0.232454,-0.330452,-0.244645,-0.273274,0.270751,0.273139,0.259737,-0.238570,-0.263884,0.259389,0.269609,0.331947,-0.258683,-0.256124,-0.238674,0.289330,-0.254792,0.260416,0.262446,-0.286751,-0.267272,0.258869,-0.301005,0.251456,-0.292467,0.249798,-0.282407,0.263090,0.296191,-0.295729,-0.269993,-0.254983,0.285635,0.282160,0.309089,-0.260508,0.290959,-0.254023,-0.269519,-0.365873,0.253999,0.264502,-0.254263,-0.272651,0.276313,0.282539,0.237606"
P16615,"0.209105,0.070754,0.203300,-0.145244,0.106924,0.115508,0.058761,-0.067320,0.038818,-0.174119,0.071072,0.182375,-0.096571,-0.222633,-0.131787,-0.230863,-0.033681,0.146488,-0.178020,-0.066239,-0.136152,0.110878,0.102214,0.119078,-0.072028,-0.056601,0.162778,0.088586,0.121304,-0.136498,-0.135882,-0.202334,0.247109,-0.071302,0.083213,0.074071,-0.120511,-0.139574,0.071804,-0.200452,0.161339,-0.058889,0.102295,-0.185440,0.069616,0.075515,-0.098855,-0.097185,-0.094710,0.061045,0.047620,0.183496,-0.081094,0.199125,-0.076834,-0.083255,-0.208122,0.064126,0.071966,-0.085680,-0.167721,0.137351,0.120388,0.147511"
P10415,"-0.254596,-0.805533,-0.069082,0.407373,-0.614192,-0.730080,-0.926235,0.793105,-1.133630,0.402879,-0.721540,-0.165005,0.804730,0.049125,0.595179,0.152463,0.905675,-0.456919,0.167356,0.917996,0.671917,-0.816254,-0.831921,-0.685568,0.802985,0.896892,-0.440266,-0.758739,-0.509220,0.662169,0.461612,0.042410,0.043358,0.804366,-0.856102,-0.945253,0.535078,0.188232,-0.714652,0.041464,-0.272693,1.130027,-0.838201,0.389608,-0.898470,-0.671589,0.885800,0.712590,0.688708,-0.895473,-0.963041,-0.316384,0.811925,0.079222,0.896587,0.858829,0.171283,-0.884220,-0.827662,0.801495,0.301000,-0.687864,-0.850196,-0.712361"
P35916,"0.166001,0.037648,0.122115,-0.109045,0.083407,0.057025,0.041834,-0.025149,0.051696,-0.071078,0.050603,0.101239,-0.088258,-0.111295,-0.140293,-0.137034,-0.052545,0.041899,-0.090445,-0.051209,-0.052677,0.110164,0.091770,0.073163,-0.031662,-0.042848,0.120478,0.048754,0.150525,-0.093050,-0.034168,-0.053928,0.172504,-0.034543,0.075462,0.068423,-0.090084,-0.057105,0.036772,-0.074265,0.122966,-0.127155,0.054518,-0.153898,0.060928,0.019710,-0.139503,-0.058380,-0.030170,0.079022,0.063299,0.095192,-0.061638,0.051342,-0.097923,-0.122478,-0.164250,0.021945,0.091945,-0.047003,-0.107693,0.150828,0.159626,0.122900"
P35968,"-0.159078,-1.533475,-1.210327,0.754669,-0.937179,-1.020090,-1.299638,1.427016,-1.006962,1.438590,-1.103343,-1.090201,1.200117,0.890160,1.011818,1.080531,1.598356,-1.135267,1.165845,1.165085,1.209411,-1.206920,-1.000811,-1.067363,1.103666,1.306303,-0.909824,-1.245845,-0.585793,0.849422,1.510409,0.996243,-0.843953,1.414625,-1.000090,-1.141312,1.316445,1.282337,-1.482185,1.767882,-0.610935,1.447192,-1.059635,1.201099,-1.419185,-1.614215,0.954280,1.361650,1.341137,-1.483461,-1.479787,-0.425735,1.377960,-1.906075,0.983082,0.583131,0.755692,-1.121286,-1.328087,1.246669,1.153680,-1.017425,-0.583778,-0.554584"
P17948,"0.143240,-0.225027,0.010337,-0.039623,-0.051082,-0.139539,-0.183455,0.180261,-0.148552,0.139148,-0.085324,-0.046626,0.151592,-0.027782,0.087488,0.062738,0.149763,-0.144096,-0.008690,0.183916,0.087617,-0.143329,-0.095621,-0.099266,0.202928,0.167591,-0.121537,-0.134726,0.020497,0.017115,0.190488,0.083859,-0.032081,0.222229,-0.100610,-0.131238,0.032970,0.139054,-0.207533,0.219257,-0.008108,0.167187,-0.123362,0.068002,-0.212319,-0.169800,0.056940,0.164145,0.161981,-0.223123,-0.216279,0.061082,0.184766,-0.231041,0.109393,0.065131,-0.082513,-0.202440,-0.203708,0.135856,0.120265,-0.012508,-0.004536,0.010918"
Q13885,"0.180521,-0.109453,0.158353,-0.094912,0.004921,-0.039234,-0.105129,0.113427,-0.101416,-0.058633,-0.072954,0.102257,-0.000194,-0.140200,-0.076771,-0.158644,0.105011,-0.016518,-0.124502,0.088174,0.000067,0.047637,-0.022904,-0.018450,0.113316,0.099656,0.087148,-0.041431,0.181790,-0.050895,0.043974,-0.070086,0.266993,0.101058,-0.052781,-0.062003,-0.021547,0.011542,-0.100864,-0.087397,0.111599,0.006045,-0.060482,-0.177614,-0.068183,-0.103210,-0.027012,0.040825,0.104757,-0.058189,-0.071723,0.122504,0.018633,0.117002,0.037618,0.013523,-0.282515,-0.130986,-0.031267,0.055521,-0.082400,0.134351,0.096752,0.086390"
P05023,"0.172995,0.111018,0.200108,-0.163285,0.140584,0.137210,0.112882,-0.108810,0.111274,-0.182635,0.118785,0.172629,-0.147806,-0.184908,-0.161625,-0.197194,-0.097608,0.162971,-0.195737,-0.117616,-0.166936,0.163583,0.126206,0.135369,-0.118379,-0.111828,0.177129,0.136281,0.204779,-0.166601,-0.146298,-0.192106,0.243099,-0.124699,0.119383,0.128640,-0.133901,-0.141983,0.114391,-0.195943,0.179537,-0.125044,0.123935,-0.207817,0.124606,0.117428,-0.127287,-0.141544,-0.113438,0.129519,0.130428,0.187984,-0.149628,0.226940,-0.114292,-0.109027,-0.260180,0.112738,0.128519,-0.136429,-0.175923,0.175522,0.147310,0.164441"
